Country,Source 1,Source 2,,,,,,,,,,,,,,,,,,,,
Monaco,https://forbes.mc/article/first-coronavirus-case-confirmed-in-monaco,,,,,,,,,,,,,,,,,,,,,
Mongolia,https://uk.reuters.com/article/us-health-coronavirus-mongolia/mongolia-confirms-its-first-coronavirus-case-in-french-worker-idUKKBN20X03F,,,,,,,,,,,,,,,,,,,,,
Montenegro,https://senat.me/en/covid19-coronavirus-montenegro-confirmed/,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Montenegro,,,,,,,,,,,,,,,,,,,,
Morocco,https://www.moroccoworldnews.com/2020/03/295120/morocco-records-1st-case-of-coronavirus/,,,,,,,,,,,,,,,,,,,,,
Mozambique,https://nationalpost.com/pmn/health-pmn/mozambique-confirms-first-coronavirus-case,,,,,,,,,,,,,,,,,,,,,
Myanmar,https://www.straitstimes.com/asia/se-asia/myanmar-confirms-first-coronavirus-cases,,,,,,,,,,,,,,,,,,,,,
Namibia,https://www.bloomberg.com/news/articles/2020-03-14/namibia-says-couple-visiting-from-spain-test-positive-for-virus,,,,,,,,,,,,,,,,,,,,,
Nepal,https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30067-0/fulltext,,,,,,,,,,,,,,,,,,,,,
Netherlands,https://nltimes.nl/2020/02/27/coronavirus-netherlands-first-positive-case-covid-19-reported,,,,,,,,,,,,,,,,,,,,,
New Zealand,https://www.stuff.co.nz/national/health/119899280/ministry-of-health-gives-latest-update-on-novel-coronavirus,,,,,,,,,,,,,,,,,,,,,
Nicaragua,https://www.reuters.com/article/us-health-coronavirus-nicaragua-idUSKBN21608Q,,,,,,,,,,,,,,,,,,,,,
Niger,https://www.africanews.com/2020/03/20/niger-records-first-coronavirus-case//,,,,,,,,,,,,,,,,,,,,,
Nigeria,https://www.pmnewsnigeria.com/2020/02/28/breaking-deadly-coronavirus-confirmed-in-lagos-nigeria-at-last/,,,,,,,,,,,,,,,,,,,,,
North Macedonia,http://www.xinhuanet.com/english/2020-02/27/c_138821841.htm,,,,,,,,,,,,,,,,,,,,,
Norway,https://www.thelocal.no/20200226/breaking-norway-announces-first-case-of-coronavirus,,,,,,,,,,,,,,,,,,,,,
Oman,https://twitter.com/OmaniMOH/status/1231954078030344193,,,,,,,,,,,,,,,,,,,,,
Pakistan,https://www.pakistantoday.com.pk/2020/02/26/sindh-health-two-coronavirus-cases-confirmed-in-pakistan-confirms-first-coronavirus-case-in-karachi/,,,,,,,,,,,,,,,,,,,,,
Panama,https://www.thejakartapost.com/news/2020/03/10/panama-confirms-first-coronavirus-case-after-women-showed-symptoms.html,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,https://news.pngfacts.com/2020/03/png-confirms-first-case-of-coronavirus.html,,,,,,,,,,,,,,,,,,,,,
Paraguay,https://timesofindia.indiatimes.com/world/rest-of-world/paraguay-reports-first-coronavirus-case/articleshow/74534862.cms,,,,,,,,,,,,,,,,,,,,,
Peru,https://tass.com/world/1127539,,,,,,,,,,,,,,,,,,,,,
Philippines,https://www.who.int/philippines/emergencies/covid-19-in-the-philippines,,,,,,,,,,,,,,,,,,,,,
Poland,https://polandin.com/47092938/first-fatal-coronavirus-case-in-poland-confirmed,,,,,,,,,,,,,,,,,,,,,
Portugal,https://www.reuters.com/article/us-health-coronavirus-portugal/portugal-registers-first-two-cases-of-coronavirus-sic-television-idUSKBN20P1BB,,,,,,,,,,,,,,,,,,,,,
Qatar,https://www.aljazeera.com/news/2020/02/qatar-reports-coronavirus-case-citizen-iran-200229144225648.html,,,,,,,,,,,,,,,,,,,,,
Romania,https://www.dailysabah.com/world/europe/romania-confirms-first-case-of-coronavirus,,,,,,,,,,,,,,,,,,,,,
Russia,https://www.rferl.org/a/russia-confirms-coronavirus-first-cases-chinese-nationals-quarantined/30410166.html,,,,,,,,,,,,,,,,,,,,,
Rwanda,https://www.aa.com.tr/en/africa/rwanda-confirms-first-case-of-coronavirus/1766177,,,,,,,,,,,,,,,,,,,,,
Saint Kitts and Nevis,https://today.caricom.org/2020/03/25/st-kitts-and-nevis-confirms-two-covid-19-cases/,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,https://stluciatimes.com/uk-national-is-saint-lucias-first-coronavirus-case/,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,https://www.loopnewsbarbados.com/content/st-vincent-and-grenadines-confirms-coronavirus-case-4,,,,,,,,,,,,,,,,,,,,,
San Marino,https://112.international/society/coronavirus-strikes-latvia-morocco-san-marino-and-saudi-arabia-49115.html,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,https://www.garda.com/crisis24/news-alerts/329881/sao-tome-and-principe-authorities-confirm-first-covid-19-cases-april-6-update-1,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,https://www.arabnews.com/node/1635781/saudi-arabia,,,,,,,,,,,,,,,,,,,,,
Senegal,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Senegal,,,,,,,,,,,,,,,,,,,,,
Serbia,https://www.thejakartapost.com/news/2020/03/06/serbia-announces-first-coronavirus-case-ministry-.html,,,,,,,,,,,,,,,,,,,,,
Seychelles,http://www.seychellesnewsagency.com/articles/12593/+Seychellois+test+positive+for+COVID-+as+globe-sweeping+virus+reaches+island+nation,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,https://www.reuters.com/article/us-health-coronavirus-leone-idUSKBN21I1MY,,,,,,,,,,,,,,,,,,,,,
Singapore,https://www.channelnewsasia.com/news/singapore/wuhan-virus-pneumonia-singapore-confirms-first-case-12312860,,,,,,,,,,,,,,,,,,,,,
Slovakia,https://tass.com/world/1127515,,,,,,,,,,,,,,,,,,,,,
Slovenia,https://www.reuters.com/article/us-health-coronavirus-slovenia/slovenia-confirms-first-case-of-coronavirus-idUSKBN20R33X,,,,,,,,,,,,,,,,,,,,,
Somalia,https://www.aa.com.tr/en/africa/somalia-tanzania-confirm-first-coronavirus-cases/1767971,,,,,,,,,,,,,,,,,,,,,
South Africa,https://www.nicd.ac.za/first-case-of-covid-19-coronavirus-reported-in-sa/,,,,,,,,,,,,,,,,,,,,,
South Korea,https://www.statista.com/statistics/1102777/south-korea-covid-19-daily-new-cases/,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_South_Korea,,,,,,,,,,,,,,,,,,,,
South Sudan,https://www.aljazeera.com/news/2020/04/south-sudan-reports-case-coronavirus-200405140524402.html,,,,,,,,,,,,,,,,,,,,,
Spain,https://edition.cnn.com/asia/live-news/coronavirus-outbreak-02-01-20-intl-hnk/h_afcf3a4665521aab11c721c8cc80dd03,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,http://www.colombopage.com/archive_20A/Jan27_1580144354CH.php,,,,,,,,,,,,,,,,,,,,,
Sudan,https://english.alarabiya.net/en/News/middle-east/2020/03/13/Sudan-confirms-first-case-of-coronavirus,,,,,,,,,,,,,,,,,,,,,
Suriname,https://www.reuters.com/article/us-health-coronavirus-suriname-confirmed/suriname-confirms-first-coronavirus-case-authorities-will-close-borders-idUSKBN210373,,,,,,,,,,,,,,,,,,,,,
Sweden,https://sverigesradio.se/artikel/7398979,,,,,,,,,,,,,,,,,,,,,
Switzerland,https://economictimes.indiatimes.com/news/international/world-news/switzerland-reports-first-coronavirus-death/printarticle/74492541.cms,,,,,,,,,,,,,,,,,,,,,
Syria,https://english.alarabiya.net/en/News/middle-east/2020/03/23/Syria-reports-first-coronavirus-case,https://tbsnews.net/coronavirus-chronicle/syria-confirms-first-coronavirus-case-fears-grow-it-could-spread-59758,,,,,,,,,,,,,,,,,,,,
Taiwan,https://www.cdc.gov.tw/En/Bulletin/Detail/pVg_jRVvtHhp94C6GShRkQ?typeid=158,,,,,,,,,,,,,,,,,,,,,
Tajikistan,https://eurasianet.org/tajikistan-finally-confirms-its-first-15-coronavirus-cases,,,,,,,,,,,,,,,,,,,,,
Tanzania,https://www.aa.com.tr/en/africa/somalia-tanzania-confirm-first-coronavirus-cases/1767971,,,,,,,,,,,,,,,,,,,,,
Thailand,https://www.scmp.com/news/hong-kong/health-environment/article/3045902/wuhan-pneumonia-thailand-confirms-first-case,,,,,,,,,,,,,,,,,,,,,
Timor-Leste,https://www.wsws.org/en/articles/2020/03/25/timo-m27.html,,,,,,,,,,,,,,,,,,,,,
Togo,https://www.reuters.com/article/us-healthcare-coronavirus-togo/togo-confirms-first-case-of-coronavirus-idUSKBN20T1Z5,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,https://tass.com/world/1129705,,,,,,,,,,,,,,,,,,,,,
Tunisia,https://punchng.com/italian-returnee-confirmed-tunisias-first-coronavirus-case/,,,,,,,,,,,,,,,,,,,,,
Turkey,https://www.dailysabah.com/turkey/turkey-remains-firm-calm-as-first-coronavirus-case-confirmed/news,,,,,,,,,,,,,,,,,,,,,
Uganda,https://www.aa.com.tr/en/africa/uganda-confirms-first-case-of-covid-19/1774578#!,,,,,,,,,,,,,,,,,,,,,
Ukraine,https://www.forbes.com/sites/katyagorchinskaya/2020/03/03/first-case-of-coronavirus-registered-in-ukraine/#41ba855d793c,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,https://gulfnews.com/uae/health/watch-how-the-first-coronavirus-case-in-uae-was-cured-1.1581323524356,,,,,,,,,,,,,,,,,,,,,
United Kingdom,https://www.aljazeera.com/news/2020/01/uk-confirms-coronavirus-cases-200131100102626.html,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_the_United_Kingdom,,,,,,,,,,,,,,,,,,,,
Uniter States,https://abcnews.go.com/Health/timeline-coronavirus-started/story?id=69435165,,,,,,,,,,,,,,,,,,,,,
Uruguay,https://nationalpost.com/pmn/health-pmn/uruguay-announces-first-four-confirmed-cases-of-coronavirus-ministry,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,https://tass.com/world/1130345,,,,,,,,,,,,,,,,,,,,,
Vatican City,https://www.newindianexpress.com/world/2020/mar/06/vatican-reports-its-first-coronavirus-case-2113289.html,,,,,,,,,,,,,,,,,,,,,
Venezuela,https://www.reuters.com/article/us-health-coronavirus-venezuela/venezuela-confirms-coronavirus-cases-amid-public-health-concerns-idUSKBN2102DR,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Venezuela,,,,,,,,,,,,,,,,,,,,
Vietnam,https://thehill.com/policy/healthcare/public-global-health/479542-vietnam-reports-first-coronavirus-cases,,,,,,,,,,,,,,,,,,,,,
West Bank and Gaza,https://www.aa.com.tr/en/middle-east/palestine-confirms-7-coronavirus-cases-in-bethlehem-/1756291,,,,,,,,,,,,,,,,,,,,,
Western Sahara,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Western_Sahara,,,,,,,,,,,,,,,,,,,,,
Yemen,https://www.reuters.com/article/us-health-coronavirus-yemen-case/war-ravaged-yemen-confirms-first-coronavirus-case-braces-for-more-idUSKCN21S0EI,,,,,,,,,,,,,,,,,,,,,
Zambia,https://www.aa.com.tr/en/africa/zambia-confirms-first-2-coronavirus-cases-/1770664,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,https://www.aa.com.tr/en/africa/zimbabwe-reports-first-covid-19-case/1773705,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
