Country,Source 1 ,Source 2,,,,,,,,,,,,,,,,,,,,,,,
Laos,No death till 16 May 2020,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,https://bnn-news.com/first-death-from-covid-19-found-in-latvia-212052,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,https://english.alarabiya.net/en/News/middle-east/2020/03/10/Lebanon-records-its-first-death-from-coronavirus-Reports,,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,No death till 16 May 2020,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,https://allafrica.com/stories/202004060367.html,,,,,,,,,,,,,,,,,,,,,,,,
Libya,https://www.aa.com.tr/en/latest-on-coronavirus-outbreak/libya-confirms-first-death-from-covid-19/1790439,,,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,https://www.worldometers.info/coronavirus/country/liechtenstein/,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Lithuania,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,https://medicalxpress.com/news/2020-03-luxembourg-coronavirus-death.html,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,No death till 16 May 2020,,,,,,,,,,,,,,,,,,,,,,,,
Malawi,https://www.thejakartapost.com/news/2020/04/07/spain-to-speed-up-roll-out-of-basic-income-due-to-virus-.html,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,https://www.aa.com.tr/en/asia-pacific/malaysia-reports-first-2-deaths-from-coronavirus/1768988,,,,,,,,,,,,,,,,,,,,,,,,
Maldives,https://www.aa.com.tr/en/asia-pacific/maldives-confirms-first-death-due-to-covid-19/1823871,,,,,,,,,,,,,,,,,,,,,,,,
Mali,https://www.trtworld.com/africa/mali-records-first-coronavirus-death-hours-before-election-34940,,,,,,,,,,,,,,,,,,,,,,,,
Malta,https://www.reuters.com/article/us-health-coronavirus-malta/malta-records-its-first-coronavirus-death-idUSKCN21Q349,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,https://medicalxpress.com/news/2020-03-mauritania-coronavirus-death.html,,,,,,,,,,,,,,,,,,,,,,,,
Mauritius,https://www.reuters.com/article/us-health-coronavirus-mauritius/mauritius-says-reports-first-death-from-coronavirus-idUSKBN2180GK,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,https://www.reuters.com/article/us-health-coronavirus-mexico-tally/diabetic-man-becomes-mexicos-first-coronavirus-death-idUSKBN216053,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,https://www.kyivpost.com/ukraine-politics/first-covid-19-death-recorded-in-moldova.html?cn-reloaded=1,,,,,,,,,,,,,,,,,,,,,,,,
Monaco,https://www.worldometers.info/coronavirus/country/monaco/,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,No death till 16 May 2020,,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,https://www.aa.com.tr/en/europe/montenegro-reports-first-death-from-coronavirus-/1775731,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,https://www.aa.com.tr/en/africa/morocco-announces-1st-coronavirus-death/1761051,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,No death till 16 May 2020,,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,https://www.aa.com.tr/en/asia-pacific/myanmar-reports-first-death-from-covid-19/1785815,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,No death till 16 May 2020,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,https://www.deccanherald.com/international/first-coronavirus-death-in-nepal-a-new-mother-838564.html,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,https://www.aa.com.tr/en/europe/netherlands-reports-first-death-from-coronavirus/1757176,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,https://www.aa.com.tr/en/asia-pacific/new-zealand-confirms-first-death-from-covid-19/1783573,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,https://www.garda.com/fr/crisis24/alertes-de-securite/326996/nicaragua-government-confirms-first-covid-19-death-march-26-update-1,,,,,,,,,,,,,,,,,,,,,,,,
